AREA,RAINFALL,AVG_TEMPERATURE,HUMIDITY,GROUND_WATERLEVEL,PRODUCTION
0.645836722,1.220951401,1.40283678,0.81633201,-0.330102122,0.403586783
0.900035289,0.850961812,0.175659889,1.271771085,0.555524453,0.04966425
0.276242505,0.506431314,1.029348161,1.014348999,0.463824699,-0.135716442
0.319757421,1.008475064,1.776325399,0.618315021,0.671355722,0.067269793
1.257160213,0.160235267,0.975992644,0.341091236,1.74762126,0.169575037
1.574179224,1.314222088,0.122304372,0.915340504,2.003415312,0.991447232
1.567816968,0.995626551,0.549148508,1.212365988,0.203204345,0.72859647
1.929663451,0.829309688,0.122304372,0.657918419,-1.090244823,2.027567529
2.715866953,0.967550171,-0.037762179,0.618315021,-1.105688992,1.879607136
3.070002163,0.341066192,-0.571317349,0.81633201,-0.636572353,2.080497743
3.723418633,1.681594387,1.456192297,1.212365988,-1.027502885,2.315162598
3.720665909,0.539742273,1.242770229,1.806416955,-0.902019011,1.126640766
2.049634821,1.114118394,1.029348161,0.895538805,-0.840242334,1.267996241
3.650170652,1.886218854,0.922637127,1.093555794,-1.367274607,3.261159552
3.344053157,0.279678852,1.669614365,-0.411373322,-0.804527693,2.786843499
-0.386981683,1.220951401,1.40283678,0.81633201,-0.330102122,-0.415309507
-0.530615541,-1.026586642,-1.051517003,-0.767803903,0.000499624,-0.512622728
-0.440431927,0.850961812,0.175659889,1.271771085,0.555524453,-0.464298351
-0.525474692,-0.993275682,-1.051517003,-1.54007016,0.656876814,-0.503070301
-0.395932594,0.506431314,1.029348161,1.014348999,0.463824699,-0.465689757
-0.539092473,-1.037055801,-0.784739418,-0.767803903,0.849928928,-0.517171773
-0.383025782,1.008475064,1.776325399,0.618315021,0.671355722,-0.442132404
-0.530433241,-0.947235177,-1.158228037,-1.144036182,0.927149774,-0.501406293
-0.396278963,0.160235267,0.975992644,0.341091236,1.74762126,-0.465252458
-0.55435095,-0.947235177,-1.211583554,-0.530183516,2.621182078,-0.526860501
-0.483327024,1.314222088,0.122304372,0.915340504,2.003415312,-0.500202301
-0.557340663,-0.9611544,-0.678028384,-1.599475257,0.603787482,-0.529603558
-0.451588663,0.995626551,0.549148508,1.212365988,0.203204345,-0.473953004
-0.559710558,-1.029441867,-1.051517003,-0.8074073,-0.139463159,-0.53116534
-0.458461358,0.829309688,0.122304372,0.657918419,-1.090244823,-0.465604569
-0.467266429,0.967550171,-0.037762179,0.618315021,-1.105688992,-0.477803506
-0.498384971,0.341066192,-0.571317349,0.81633201,-0.636572353,-0.516041611
-0.49907771,1.681594387,1.456192297,1.212365988,-1.027502885,-0.506506221
-0.476673088,0.539742273,1.242770229,1.806416955,-0.902019011,-0.491007664
-0.565507685,-1.006956969,-0.624672866,-1.757888848,-0.511088479,-0.537066037
-0.451260524,1.114118394,1.029348161,0.895538805,-0.840242334,-0.474072267
-0.548881961,-0.818750047,-0.731383901,-0.8074073,-0.592170367,-0.522584058
-0.484110912,1.886218854,0.922637127,1.093555794,-1.367274607,-0.469631127
-0.566163964,-0.932364213,-0.998161486,-0.926217494,-1.00240611,-0.537139866
-0.496324986,0.279678852,1.669614365,-0.411373322,-0.804527693,-0.48357926
-0.560275687,-0.952588724,-0.678028384,0.063867451,0.171350746,-0.529768255
-0.46690183,1.220951401,1.40283678,0.81633201,-0.330102122,-0.520721278
-0.268596321,-1.026586642,-1.051517003,-0.767803903,0.000499624,-0.360720964
-0.477292907,0.850961812,0.175659889,1.271771085,0.555524453,-0.522595416
-0.308191795,-0.993275682,-1.051517003,-1.54007016,0.656876814,-0.381052527
-0.506169164,0.506431314,1.029348161,1.014348999,0.463824699,-0.529864802
-0.35177963,-1.037055801,-0.784739418,-0.767803903,0.849928928,-0.428774908
-0.527297688,1.008475064,1.776325399,0.618315021,0.671355722,-0.533192817
-0.302339977,-0.947235177,-1.158228037,-1.144036182,0.927149774,-0.365326802
-0.543741113,0.160235267,0.975992644,0.341091236,1.74762126,-0.532999724
-0.267903582,-0.947235177,-1.211583554,-0.530183516,2.621182078,-0.444216673
-0.559200119,1.314222088,0.122304372,0.915340504,2.003415312,-0.537054678
-0.31934853,-0.9611544,-0.678028384,-1.599475257,0.603787482,-0.394131742
-0.55874437,0.995626551,0.549148508,1.212365988,0.203204345,-0.537497657
-0.330559956,-1.029441867,-1.051517003,-0.8074073,-0.139463159,-0.399578102
-0.294391715,-0.787461538,-0.838094935,-0.708398806,-0.969587251,-0.408812494
-0.556483855,0.967550171,-0.037762179,0.618315021,-1.105688992,-0.535589443
-0.27329965,-1.094160303,-1.051517003,-0.510381817,-0.814180299,-0.371517138
-0.559965777,0.341066192,-0.571317349,0.81633201,-0.636572353,-0.535924516
-0.320970997,-1.009931162,-0.784739418,-0.648993709,-0.351820485,-0.421687257
-0.56330186,1.681594387,1.456192297,1.212365988,-1.027502885,-0.538542631
-0.376390076,-0.970909752,-0.784739418,-0.965820892,-1.021711322,-0.451520134
-0.564687337,0.539742273,1.242770229,1.806416955,-0.902019011,-0.538326821
-0.426613617,-1.006956969,-0.624672866,-1.757888848,-0.511088479,-0.468114778
-0.539730521,1.114118394,1.029348161,0.895538805,-0.840242334,-0.533857285
-0.332091273,-0.818750047,-0.731383901,-0.8074073,-0.592170367,-0.414082798
-0.565416535,1.886218854,0.922637127,1.093555794,-1.367274607,-0.538571027
-0.369389772,-0.932364213,-0.998161486,-0.926217494,-1.00240611,-0.445892039
-0.567385371,0.279678852,1.669614365,-0.411373322,-0.804527693,-0.539326361
-0.441197585,-0.952588724,-0.678028384,0.063867451,0.171350746,-0.457846771
-0.564158668,1.220951401,1.40283678,0.81633201,-0.330102122,-0.538605102
-0.543722883,-1.026586642,-1.051517003,-0.767803903,0.000499624,-0.531318679
-0.548626742,0.850961812,0.175659889,1.271771085,0.555524453,-0.533692588
-0.548335063,-0.993275682,-1.051517003,-1.54007016,0.656876814,-0.533550607
-0.563666459,0.506431314,1.029348161,1.014348999,0.463824699,-0.538156445
-0.539511762,-1.037055801,-0.784739418,-0.767803903,0.849928928,-0.532346615
-0.548809042,1.008475064,1.776325399,0.618315021,0.671355722,-0.534010623
-0.549191871,-0.947235177,-1.158228037,-1.144036182,0.927149774,-0.534050378
-0.565197776,0.160235267,0.975992644,0.341091236,1.74762126,-0.538713007
-0.523888686,-0.947235177,-1.211583554,-0.530183516,2.621182078,-0.526127883
-0.56313779,1.314222088,0.122304372,0.915340504,2.003415312,-0.537673712
-0.537506466,-0.9611544,-0.678028384,-1.599475257,0.603787482,-0.531744619
-0.567166612,0.995626551,0.549148508,1.212365988,0.203204345,-0.539212777
-0.561515324,-1.029441867,-1.051517003,-0.8074073,-0.139463159,-0.537577165
-0.550413278,-1.009931162,-0.784739418,-0.648993709,-0.351820485,-0.534856825
-0.567549441,1.681594387,1.456192297,1.212365988,-1.027502885,-0.539349078
-0.56348416,-0.970909752,-0.784739418,-0.965820892,-1.021711322,-0.537673712
-0.563593539,-1.006956969,-0.624672866,-1.757888848,-0.511088479,-0.539161664
-0.562153373,1.114118394,1.029348161,0.895538805,-0.840242334,-0.537736183
-0.549283021,-0.818750047,-0.731383901,-0.8074073,-0.592170367,-0.534209395
-0.565580605,1.886218854,0.922637127,1.093555794,-1.367274607,-0.538576706
-0.565580605,-0.932364213,-0.998161486,-0.926217494,-1.00240611,-0.538576706
-0.5677682,0.279678852,1.669614365,-0.411373322,-0.804527693,-0.539411549
-0.544670841,-0.952588724,-0.678028384,0.063867451,0.171350746,-0.528416604
0.896516907,1.220951401,1.40283678,0.81633201,-0.330102122,0.924035038
0.038286832,-1.026586642,-1.051517003,-0.767803903,0.000499624,0.413201681
0.483024946,0.850961812,0.175659889,1.271771085,0.555524453,0.61293373
0.01181693,-0.993275682,-1.051517003,-1.54007016,0.656876814,0.317785316
0.78453026,0.506431314,1.029348161,1.014348999,0.463824699,0.756924357
0.007715189,-1.037055801,-0.784739418,-0.767803903,0.849928928,0.252014413
1.556368553,1.008475064,1.776325399,0.618315021,0.671355722,2.020247031
0.275513307,-0.947235177,-1.158228037,-1.144036182,0.927149774,0.699342872
1.163458217,0.160235267,0.975992644,0.341091236,1.74762126,0.687598271
-0.004462425,-0.947235177,-1.211583554,-0.530183516,2.621182078,0.07976405
1.882976523,1.314222088,0.122304372,0.915340504,2.003415312,2.450458358
0.1771809,-0.9611544,-0.678028384,-1.599475257,0.603787482,0.615017999
1.169802243,0.995626551,0.549148508,1.212365988,0.203204345,1.238293986
0.249845523,-1.029441867,-1.051517003,-0.8074073,-0.139463159,0.684821139
1.072855314,0.829309688,0.122304372,0.657918419,-1.090244823,2.43647047
0.617106304,-0.787461538,-0.838094935,-0.708398806,-0.969587251,1.601626966
0.813607047,0.967550171,-0.037762179,0.618315021,-1.105688992,1.361487355
0.536001211,-1.094160303,-1.051517003,-0.510381817,-0.814180299,1.135613914
0.53157133,0.341066192,-0.571317349,0.81633201,-0.636572353,0.333601909
0.166370534,-1.009931162,-0.784739418,-0.648993709,-0.351820485,0.546577869
0.472451569,1.681594387,1.456192297,1.212365988,-1.027502885,0.970150203
0.053654689,-0.970909752,-0.784739418,-0.965820892,-1.021711322,0.42632065
0.400534375,0.539742273,1.242770229,1.806416955,-0.902019011,0.417495162
0.237576759,-1.006956969,-0.624672866,-1.757888848,-0.511088479,0.579636536
0.872544509,1.114118394,1.029348161,0.895538805,-0.840242334,1.050618895
0.225891355,-0.818750047,-0.731383901,-0.8074073,-0.592170367,0.621270807
0.578440558,1.886218854,0.922637127,1.093555794,-1.367274607,1.292144232
0.370217951,-0.932364213,-0.998161486,-0.926217494,-1.00240611,1.17627704
0.409248296,0.279678852,1.669614365,-0.411373322,-0.804527693,0.853777562
0.425564111,-0.952588724,-0.678028384,0.063867451,0.171350746,1.147216535
0.083260145,1.220951401,1.40283678,0.81633201,-0.330102122,-0.45972091
-0.565124856,-1.026586642,-1.051517003,-0.767803903,0.000499624,-0.539150306
-0.022200176,0.850961812,0.175659889,1.271771085,0.555524453,-0.490309121
-0.546749056,-0.993275682,-1.051517003,-1.54007016,0.656876814,-0.537429506
-0.122501418,0.506431314,1.029348161,1.014348999,0.463824699,-0.510856494
-0.545345349,-1.037055801,-0.784739418,-0.767803903,0.849928928,-0.537645316
-0.046318414,1.008475064,1.776325399,0.618315021,0.671355722,-0.478831443
-0.532310927,-0.947235177,-1.158228037,-1.144036182,0.927149774,-0.535691669
-0.31495511,0.160235267,0.975992644,0.341091236,1.74762126,-0.52407201
-0.542866074,-0.947235177,-1.211583554,-0.530183516,2.621182078,-0.536895661
-0.252517496,1.314222088,0.122304372,0.915340504,2.003415312,-0.508885809
-0.546019858,-0.9611544,-0.678028384,-1.599475257,0.603787482,-0.535799573
-0.351980159,0.995626551,0.549148508,1.212365988,0.203204345,-0.52457178
-0.525110093,-1.029441867,-1.051517003,-0.8074073,-0.139463159,-0.527956588
-0.349081596,0.829309688,0.122304372,0.657918419,-1.090244823,-0.511038229
-0.531381199,-0.787461538,-0.838094935,-0.708398806,-0.969587251,-0.528075851
-0.379780849,0.967550171,-0.037762179,0.618315021,-1.105688992,-0.515411219
-0.54481668,-1.094160303,-1.051517003,-0.510381817,-0.814180299,-0.533084912
-0.446994713,0.341066192,-0.571317349,0.81633201,-0.636572353,-0.531755978
-0.503799269,-1.009931162,-0.784739418,-0.648993709,-0.351820485,-0.530216913
-0.418118456,1.681594387,1.456192297,1.212365988,-1.027502885,-0.521476612
-0.529758733,-0.970909752,-0.784739418,-0.965820892,-1.021711322,-0.532863423
-0.44845311,0.539742273,1.242770229,1.806416955,-0.902019011,-0.523850521
-0.483017115,-1.006956969,-0.624672866,-1.757888848,-0.511088479,-0.521067709
-0.518620227,1.114118394,1.029348161,0.895538805,-0.840242334,-0.50422318
-0.522266219,-0.818750047,-0.731383901,-0.8074073,-0.592170367,-0.515581595
-0.482761895,1.886218854,0.922637127,1.093555794,-1.367274607,-0.525304398
-0.486353197,-0.932364213,-0.998161486,-0.926217494,-1.00240611,-0.51525788
-0.512349121,0.279678852,1.669614365,-0.411373322,-0.804527693,-0.533022441
-0.489306451,-0.952588724,-0.678028384,0.063867451,0.171350746,-0.525026117
2.400069349,1.220951401,1.40283678,0.81633201,-0.330102122,2.355223728
-0.556319785,-1.026586642,-1.051517003,-0.767803903,0.000499624,-0.449191659
-0.566236884,0.850961812,0.175659889,1.271771085,0.555524453,-0.533976548
-0.557231283,-0.993275682,-1.051517003,-1.54007016,0.656876814,-0.453076237
-0.566182194,0.506431314,1.029348161,1.014348999,0.463824699,-0.5354645
-0.559582948,-1.037055801,-0.784739418,-0.767803903,0.849928928,-0.475145637
-0.565963434,1.008475064,1.776325399,0.618315021,0.671355722,-0.533192817
-0.557796412,-0.947235177,-1.158228037,-1.144036182,0.927149774,-0.452701409
-0.564979016,0.160235267,0.975992644,0.341091236,1.74762126,-0.530427043
-0.559637638,-0.947235177,-1.211583554,-0.530183516,2.621182078,-0.482358231
-0.566856702,1.314222088,0.122304372,0.915340504,2.003415312,-0.535475859
-0.553202462,-0.9611544,-0.678028384,-1.599475257,0.603787482,-0.448703247
