AREA,RAINFALL,AVG_TEMPERATURE,HUMIDITY,GROUND_WATERLEVEL,PRODUCTION
162804,197.1,28.7,72,4.025,509694
632,8.18,24.1,64,4.71,15890
88,166,26.4,74.3,5.86,961
582,10.98,24.1,60.1,6.07,15206
91,137.04,28,73,5.67,699
453,7.3,24.6,64,6.47,11320
103,179.24,29.4,71,6.1,1099
551,14.85,23.9,62.1,6.63,15272
157,107.94,27.9,69.6,8.33,1586
450,14.85,23.8,65.2,10.14,10050
54,204.94,26.3,72.5,8.86,697
803,13.68,24.8,59.8,5.96,15976
137,178.16,27.1,74,5.13,2063
340,7.94,24.1,63.8,4.42,8448
1000,28.28,24.5,64.3,2.7,13000
511,175.8,26,71,2.418,7345
802,2.5,24.1,65.3,3.022,18085
369,123.14,25,72,3.39,6416
594,9.58,24.6,64.6,3.98,14416
855,12.86,24.6,63,2.592,16395
4,139.84,28.4,77,2.84,45
669,9.83,24.9,59,3.65,18267
148,188.12,28,72.4,2.968,1708
639,25.65,24.7,63.8,3.482,15781
669,16.1,24.2,63.2,2.632,17777
18,117.98,29.2,65.8,3.042,280
551,14.4,24.8,68.2,5.064,15051
108608,8.18,24.1,64,4.71,376544
141154,166,26.4,74.3,5.86,429108
103207,10.98,24.1,60.1,6.07,332223
133365,137.04,28,73,5.67,345015
48545,7.3,24.6,64,6.47,152965
122858,179.24,29.4,71,6.1,395726
64718,14.85,23.9,62.1,6.63,206321
65453,107.94,27.9,69.6,8.33,147989
18182,14.85,23.8,65.2,10.14,50382
146979,204.94,26.3,72.5,8.86,501639
119417,13.68,24.8,59.8,5.96,410675
166750,178.16,27.1,74,5.13,521094
166759,7.94,24.1,63.8,4.42,548470
130000,164.18,26.3,71.2,2.45,441000
152000,28.28,24.5,64.3,2.7,545000
160406,175.8,26,71,2.418,543135
175551,2.5,24.1,65.3,3.022,632861
84886,123.14,25,72,3.39,274182
77439,9.58,24.6,64.6,3.98,239209
159548,235.82,28.8,74,2.58,523465
221971,12.86,24.6,63,2.592,828396
185727,139.84,28.4,77,2.84,601858
157649,9.83,24.9,59,3.65,518192
145067,188.12,28,72.4,2.968,468338
122976,25.65,24.7,63.8,3.482,426347
209454,253.02,27.8,73.4,1.876,732042
208458,16.1,24.2,63.2,2.632,768793
179282,117.98,29.2,65.8,3.042,632136
99151,14.4,24.8,68.2,5.064,358827
415,197.1,28.7,72,4.025,64
3095,8.18,24.1,64,4.71,600
308,166,26.4,74.3,5.86,60
3211,10.98,24.1,60.1,6.07,620
304,137.04,28,73,5.67,57
2098,7.3,24.6,64,6.47,373
157,179.24,29.4,71,6.1,45
3365,14.85,23.9,62.1,6.63,697
145,107.94,27.9,69.6,8.33,39
3657,14.85,23.8,65.2,10.14,1327
178,204.94,26.3,72.5,8.86,43
4612,13.68,24.8,59.8,5.96,2790
299,178.16,27.1,74,5.13,56
4549,7.94,24.1,63.8,4.42,2238
3000,28.28,24.5,64.3,2.7,1000
2374,2.5,24.1,65.3,3.022,1023
154,123.14,25,72,3.39,16
4516,9.58,24.6,64.6,3.98,2136
27,235.82,28.8,74,2.58,5
6252,12.86,24.6,63,2.592,2726
5739,9.83,24.9,59,3.65,2169
200,188.12,28,72.4,2.968,39
4273,25.65,24.7,63.8,3.482,1744
6083,16.1,24.2,63.2,2.632,3048
10,117.98,29.2,65.8,3.042,2
7269,14.4,24.8,68.2,5.064,3664
5991,197.1,28.7,72,4.025,2145
548,8.18,24.1,64,4.71,196
4999,166,26.4,74.3,5.86,2649
684,10.98,24.1,60.1,6.07,363
6620,137.04,28,73,5.67,1629
512,7.3,24.6,64,6.47,126
11352,179.24,29.4,71,6.1,4813
889,14.85,23.9,62.1,6.63,377
9833,107.94,27.9,69.6,8.33,2212
579,14.85,23.8,65.2,10.14,130
16818,204.94,26.3,72.5,8.86,11436
11789,178.16,27.1,74,5.13,5187
10000,164.18,26.3,71.2,2.45,7000
6542,175.8,26,71,2.418,3873
6016,123.14,25,72,3.39,4416
920,9.58,24.6,64.6,3.98,675
9384,235.82,28.8,74,2.58,3388
50,12.86,24.6,63,2.592,18
9569,139.84,28.4,77,2.84,4383
18,9.83,24.9,59,3.65,8
8328,188.12,28,72.4,2.968,4177
525,25.65,24.7,63.8,3.482,235
4548,253.02,27.8,73.4,1.876,3084
3126,117.98,29.2,65.8,3.042,2254
12,197.1,28.7,72,4.025,4
51,8.18,24.1,64,4.71,27
178,166,26.4,74.3,5.86,78
931,10.98,24.1,60.1,6.07,158
10,137.04,28,73,5.67,5
1941,7.3,24.6,64,6.47,448
20,179.24,29.4,71,6.1,14
961,14.85,23.9,62.1,6.63,393
19,107.94,27.9,69.6,8.33,9
576,14.85,23.8,65.2,10.14,418
492,13.68,24.8,59.8,5.96,363
514,7.94,24.1,63.8,4.42,487
153,2.5,24.1,65.3,3.022,103
487,9.58,24.6,64.6,3.98,338
152,235.82,28.8,74,2.58,94
1286,12.86,24.6,63,2.592,952
144,139.84,28.4,77,2.84,101
3046,9.83,24.9,59,3.65,1267
79,188.12,28,72.4,2.968,49
1230,25.65,24.7,63.8,3.482,790
101,253.02,27.8,73.4,1.876,83
4468,16.1,24.2,63.2,2.632,4379
68,117.98,29.2,65.8,5.064,45
2315,14.4,24.8,68.2,5.064,940
